imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0337652,Jeena Sirf Merre Liye,2002,20-Nov-02,Romance,Bolu Khan (story) | Aman Jaffery (story) | Aman Jaffery (dialogue) | Rumi Jaffery (screenplay) | Bolu Khan (dialogue),492,Jimmy Shergill,2,Farah Khan,0,2
tt0337971,Deewangee,2002,25-Oct-02,Crime | Thriller | Drama,Anees Bazmee,493,Manisha Koirala,3,Karan Johar,0,3
tt0337998,Ek Hindustani,2003,N/A,Action,Santosh Saroj,494,Atul Kulkarni,4,Sajid Khan,0,1
tt0338477,Talaash: The Hunt Begins...,2003,3-Jan-03,Action | Adventure | Crime,Suneel Darshan (story) | Robin Bhatt (screenplay) | K.K. Singh (dialogue) | Ravi Shankar Jaiswal (additional dialogue),495,Amrita Arora,5,Rohit Shetty,0,2
tt0338566,Yeh Kya Ho Raha Hai?,2002,11-Oct-02,Comedy | Romance,Suparn Verma (story) | Suparn Verma (screenplay),496,Neil Nitin Mukesh,6,Kabir Khan,0,2
tt0338721,Annarth,2002,1-Nov-02,Action | Thriller,Ravi Dewan | Imtiaz Hussain (screenplay) | Imtiaz Hussain (story),497,Rajat Kapoor,7,Anil Sharma,0,1
tt0338959,Ek Se Badhkar Ek,2004,17-Sep-04,Comedy | Thriller,Dilip Shukla,498,Aftab Shivdasani,8,Farhan Akhtar,0,1
tt0339878,Waah! Tera Kya Kehna,2002,1-Nov-02,Comedy,Rajeev Kaul,499,Ashmit Patel,9,Siddharth Anand,0,1
tt0340178,Jaal: The Trap,2003,18-Jul-03,Action | Musical | Drama,Rajeev Kaul | Praful Parekh,500,Dimple Kapadia,10,Anees Bazmee,0,1
tt0340464,Zindagi Khoobsoorat Hai,2002,4-Oct-02,Drama | Family,N/A,501,Urmila Matondkar,11,Prabhudheva,0,1
tt0341266,Bhoot,2003,30-May-03,Horror | Thriller,Lalit Marathe | Sameer Sharma,502,Danny Denzongpa,12,Shaad Ali,0,6
tt0341458,Maseeha,2002,2-Dec-02,Action | Crime | Drama,Pradeep Ghatak (screenplay) | Pradeep Ghatak (story) | Anwar Khan (dialogue) | Anwar Khan (screenplay),503,Ahsaas Channa,13,Anurag Basu,0,1
tt0341549,Rishtey,2002,6-Dec-02,Family,Rajeev Kaul (screenplay) | Rajeev Kaul (story) | Tanveer Khan (dialogue) | Praful Parekh (screenplay) | Praful Parekh (story),504,Prem Chopra,14,Mohit Suri,0,2
tt0341562,Satta,2003,7-Feb-03,Crime | Drama,Madhur Bhandarkar (dialogue) | Madhur Bhandarkar (story) | Manoj Tyagi (screenplay),505,Sushant Singh,15,Sanjay Leela Bhansali,0,2
tt0342624,Karz: The Burden of Truth,2002,6-Dec-02,Action,Anees Bazmee (dialogue) | Anees Bazmee (screenplay) | Amit Khan (additional screenplay) | Atul Sharma (story),506,Rahul Dev,16,Imtiaz Ali,0,2
tt0345043,Chura Liyaa Hai Tumne,2003,21-Mar-03,Action | Drama | Mystery,Venita Coelho (screenplay) | Sanjay Masoom (additional dialogue) | Vibha Singh (dialogue),507,Kay Kay Menon,17,Mani Ratnam,0,1
tt0345102,Danger,2002,17-May-02,Crime | Drama | Thriller,Vasant Chheda | Shashi Wadia,508,Darshan Jariwala,18,David Dhawan,0,2
tt0345594,Love at Times Square,2003,14-Feb-03,Drama,Dev Anand,509,Antara Mali,19,Aanand Rai,0,1
tt0346457,The Rising: Ballad of Mangal Pandey,2005,12-Aug-05,Biography | Drama | History,Farrukh Dhondy (screenplay) | Ranjit Kapoor (Hindi dialogue),510,Jackie Shroff,20,Ashwani Dhir,0,2
